StudentID,Name,Mathematics,Science,English,History,Geography,Computer,Physics,Chemistry
1,Student_1,78,53,46,72,46,97,55,68
2,Student_2,91,62,98,48,42,46,90,95
3,Student_3,68,99,90,99,56,96,76,75
4,Student_4,54,96,61,98,72,75,61,64
5,Student_5,82,79,67,45,87,84,96,60
6,Student_6,47,60,41,55,51,59,68,96
7,Student_7,60,55,81,68,98,40,53,75
8,Student_8,78,84,84,42,90,47,67,49
9,Student_9,97,57,96,59,61,85,44,76
10,Student_10,58,86,92,99,94,55,86,48
11,Student_11,62,92,45,98,61,53,88,63
12,Student_12,50,63,67,75,85,51,69,74
13,Student_13,50,65,67,58,69,90,85,88
14,Student_14,63,64,83,65,77,62,91,74
15,Student_15,92,99,83,42,77,54,44,87
16,Student_16,75,99,59,58,84,67,51,75
17,Student_17,79,99,69,59,90,73,55,57
18,Student_18,63,84,50,71,93,41,65,88
19,Student_19,42,80,97,46,47,71,65,78
20,Student_20,61,68,94,91,66,62,87,71
21,Student_21,92,54,67,80,66,61,60,63
22,Student_22,41,84,64,72,73,90,78,62
23,Student_23,63,40,78,79,60,64,75,71
24,Student_24,83,64,72,78,69,97,72,76
25,Student_25,69,46,40,57,72,61,69,51
26,Student_26,77,48,96,79,67,97,76,88
27,Student_27,41,63,66,40,86,97,62,94
28,Student_28,99,40,96,50,72,61,97,52
29,Student_29,60,83,91,67,44,88,49,62
30,Student_30,72,47,52,96,99,91,93,64
31,Student_31,51,63,80,64,87,81,44,74
32,Student_32,97,50,42,89,58,45,75,80
33,Student_33,61,90,78,62,43,54,73,69
34,Student_34,83,56,45,70,74,93,91,56
35,Student_35,64,47,47,69,88,82,70,88
36,Student_36,88,74,66,81,56,99,49,59
37,Student_37,66,74,48,74,83,76,97,87
38,Student_38,98,72,76,46,67,72,58,64
39,Student_39,81,98,72,99,69,47,97,61
40,Student_40,67,44,90,55,68,92,71,52
41,Student_41,99,81,81,65,85,99,40,98
42,Student_42,55,78,83,87,92,83,95,58
43,Student_43,54,97,63,96,45,83,44,88
44,Student_44,86,80,54,91,74,44,84,75
45,Student_45,90,67,98,99,99,78,43,51
46,Student_46,83,46,93,88,80,43,55,80
47,Student_47,94,48,71,41,76,45,63,58
48,Student_48,91,47,71,40,63,84,55,51
49,Student_49,96,51,63,87,68,71,94,48
50,Student_50,42,73,80,51,88,91,41,46
51,Student_51,76,72,91,44,85,69,88,67
52,Student_52,90,87,88,76,92,86,67,53
53,Student_53,46,94,88,71,70,74,71,70
54,Student_54,60,62,97,98,74,94,66,91
55,Student_55,48,63,91,94,99,79,59,58
56,Student_56,78,76,51,48,72,91,63,97
57,Student_57,57,74,78,80,91,55,51,86
58,Student_58,43,83,41,74,60,52,89,55
59,Student_59,64,79,42,58,71,89,74,92
60,Student_60,99,61,88,87,62,99,99,44
61,Student_61,53,66,76,55,72,81,72,74
62,Student_62,89,74,88,42,42,69,72,51
63,Student_63,97,40,95,59,57,58,90,64
64,Student_64,48,74,56,63,64,56,82,91
65,Student_65,65,76,98,93,81,95,76,98
66,Student_66,92,86,88,95,70,58,51,60
67,Student_67,41,53,41,72,93,67,42,75
68,Student_68,59,42,41,63,97,97,40,92
69,Student_69,67,40,67,91,42,94,72,62
70,Student_70,86,44,93,50,79,65,79,55
71,Student_71,99,65,62,88,85,76,49,96
72,Student_72,46,94,76,47,63,65,82,78
73,Student_73,83,53,71,75,89,92,83,84
74,Student_74,47,78,72,77,71,62,68,92
75,Student_75,86,66,40,79,86,48,52,81
76,Student_76,74,48,58,59,61,51,51,97
77,Student_77,53,54,41,74,62,92,70,78
78,Student_78,56,54,92,87,41,40,85,53
79,Student_79,75,65,83,64,66,97,41,70
80,Student_80,89,81,65,74,81,97,90,97
81,Student_81,79,99,71,64,41,40,89,44
82,Student_82,43,52,45,68,65,86,74,74
83,Student_83,41,90,71,57,56,73,62,62
84,Student_84,45,71,94,85,79,71,56,68
85,Student_85,93,78,43,57,72,93,65,82
86,Student_86,81,88,94,41,48,87,47,50
87,Student_87,43,91,50,93,82,64,68,57
88,Student_88,93,71,95,74,93,79,65,86
89,Student_89,68,43,98,55,87,84,49,51
90,Student_90,57,69,56,80,78,92,65,48
91,Student_91,65,76,77,75,68,40,73,49
92,Student_92,83,62,63,72,81,55,90,97
93,Student_93,73,78,44,43,94,78,80,83
94,Student_94,49,84,91,72,65,44,46,56
95,Student_95,75,54,73,53,74,61,43,77
96,Student_96,53,82,45,60,89,68,97,46
97,Student_97,70,68,61,87,64,94,92,85
98,Student_98,87,75,50,59,63,42,89,52
99,Student_99,54,52,87,95,52,51,84,79
100,Student_100,47,71,55,47,99,65,50,81
